"<font size="5">我买了很多股票。</font><br><b><font size="5">Wǒ mǎile hěnduō gǔpiào.</font></b>","I bought a lot of stocks.","ExampleSentenceFront",,,,
"<font size="5">我对哲学很感兴趣。</font><br><b><font size="5">Wǒ duì zhéxué hěn gǎn xìngqù.</font></b>","I am very interested in philosophy.","ExampleSentenceFront",,,,
"<font size="5">我喜欢打篮球和踢足球。</font><br><b><font size="5">wǒ xǐhuān dǎ lánqiú hé tī zúqiú.</font></b>","I like playing basketball and football.","ExampleSentenceFront",,,,
"<font size="5">他总是撒谎，不可信。</font><br><b><font size="5">tā zǒng shì sā huǎng, bù kě xìn.</font></b>","He always lies; you can't trust him.","ExampleSentenceFront",,,,
"<font size="5">蚂蚁在地上爬来爬去。</font><br><b><font size="5">mǎ yǐ zài dì shang pá lái pá qù.</font></b>","The ant crawls back and forth on the ground.","ExampleSentenceFront",,,,
"<font size="5">教育的目的是培养全面发展的人才。</font><br><b><font size="5">jiàoyù de mùdì shì péiyǎng quánmiàn fāzhǎn de réncái.</font></b>","The purpose of education is to cultivate well-rounded talents.","ExampleSentenceFront",,,,
"<font size="5">原本我想去旅行，但现在我决定留在家里。</font><br><b><font size="5">yuánběn wǒ xiǎng qù lǚxíng, dàn xiànzài wǒ juédìng liú zài jiālǐ.</font></b>","I originally wanted to travel; but now I've decided to stay at home.","ExampleSentenceFront",,,,
"<font size="5">他的梦想是成为一个超级英雄。</font><br><b><font size="5">tā de mèngxiǎng shì chéngwéi yīgè chāojí yīngxióng.</font></b>","His dream is to become a superhero.","ExampleSentenceFront",,,,
"<font size="5">他做了一个愚蠢的决定。</font><br><b><font size="5">tā zuò le yī gè yú chǔn de jué dìng.</font></b>","He made a stupid decision.","ExampleSentenceFront",,,,
"<font size="5">这个岛上有很多美丽的花朵。</font><br><b><font size="5">zhège dǎo shàng yǒu hěn duō měilì de huāduǒ.</font></b>","There are many beautiful flowers on this island.","ExampleSentenceFront",,,,
"<font size="5">非洲有很多种族和文化。</font><br><b><font size="5">Fēi zhōu yǒu hěn duō zhǒng zú hé wén huà.</font></b>","Africa has many races and cultures.","ExampleSentenceFront",,,,
"<font size="5">我们要加快城市的建设。</font><br><b><font size="5">wǒmen yào jiākuài chéngshì de jiànshè.</font></b>","We need to accelerate the construction of the city.","ExampleSentenceFront",,,,
"<font size="5">这座建筑物非常高。</font><br><b><font size="5">zhè zuò jiàn zhú wù fēi cháng gāo.</font></b>","This building is very tall.","ExampleSentenceFront",,,,
"<font size="5">他是一位成功的企业家。</font><br><b><font size="5">Tā shì yī wèi chénggōng de qǐyèjiā.</font></b>","He is a successful entrepreneur.","ExampleSentenceFront",,,,
"<font size="5">电子商务让购物变得更加方便。</font><br><b><font size="5">diàn zǐ shāng wù ràng gòu wù biàn dé gèng jiā fāng biàn.</font></b>","E-commerce makes shopping much more convenient.","ExampleSentenceFront",,,,
"<font size="5">在这个活动中，大家可以随意的选择自己的座位。</font><br><b><font size="5">zài zhè ge huó dòng zhōng, dà jiā kě yǐ suí yì de xuǎn zé zì jǐ de zuò wèi.</font></b>","In this event; everyone can choose their seats freely.","ExampleSentenceFront",,,,
"<font size="5">我不再想念那个地方。</font><br><b><font size="5">wǒ bù zài xiǎng niàn nà ge dì fāng.</font></b>","I no longer miss that place.","ExampleSentenceFront",,,,
"<font size="5">我喜欢喝各种饮料。</font><br><b><font size="5">Wǒ xǐhuān hē gè zhǒng yǐnliào.</font></b>","I like to drink a variety of beverages.","ExampleSentenceFront",,,,
"<font size="5">这是一个好的例子。</font><br><b><font size="5">zhè shì yī gè hǎo de lìzi.</font></b>","This is a good example.","ExampleSentenceFront",,,,
"<font size="5">他在海滩上裸体游泳。</font><br><b><font size="5">tā zài hǎitān shàng luǒtǐ yóuyǒng.</font></b>","He swims naked at the beach.","ExampleSentenceFront",,,,
"<font size="5">我用刀切菜。</font><br><b><font size="5">wǒ yòng dāo qiē cài.</font></b>","I use a knife to cut vegetables.","ExampleSentenceFront",,,,
"<font size="5">这是一张美丽的图片。</font><br><b><font size="5">zhè shì yī zhāng měilì de túpiàn.</font></b>","This is a beautiful picture.","ExampleSentenceFront",,,,
"<font size="5">我只需要一杯水，就行了。</font><br><b><font size="5">wǒ zhǐ xūyào yī bēi shuǐ, jiù xíngle.</font></b>","I just need a glass of water; that’s enough.","ExampleSentenceFront",,,,
"<font size="5">老师对学生的要求很高。</font><br><b><font size="5">Lǎoshī duì xuéshēng de yāoqiú hěn gāo.</font></b>","The teacher has high expectations for the students.","ExampleSentenceFront",,,,
"<font size="5">我在等待你的回复。</font><br><b><font size="5">Wǒ zài děngdài nǐ de huífù.</font></b>","I am waiting for your reply.","ExampleSentenceFront",,,,
"<font size="5">宗教在不同的文化中有不同的意义。</font><br><b><font size="5">Zōngjiào zài bùtóng de wénhuà zhōng yǒu bùtóng de yìyì.</font></b>","Religion has different meanings in different cultures.","ExampleSentenceFront",,,,
"<font size="5">在宇宙中，人类的存在是非常微小的。</font><br><b><font size="5">Zài yǔzhòu zhōng, rénlèi de cúnzài shì fēicháng wéixiǎo de.</font></b>","In the universe; the existence of humanity is extremely small.","ExampleSentenceFront",,,,
"<font size="5">请把麦克风调高一点。</font><br><b><font size="5">qǐng bǎ màikèfēng tiáo gāo yīdiǎn.</font></b>","Please raise the microphone a little.","ExampleSentenceFront",,,,
"<font size="5">我每天都会去这个网站学习中文。</font><br><b><font size="5">wǒ měi tiān dōu huì qù zhè ge wǎng zhàn xué xí zhōng wén.</font></b>","I go to this website every day to learn Chinese.","ExampleSentenceFront",,,,
"<font size="5">我想复制这个文件。</font><br><b><font size="5">wǒ xiǎng fùzhì zhège wénjiàn.</font></b>","I want to copy this file.","ExampleSentenceFront",,,,
"<font size="5">这把剑非常锋利。</font><br><b><font size="5">Zhè bǎ jiàn fēicháng fēnglì.</font></b>","This sword is very sharp.","ExampleSentenceFront",,,,
"<font size="5">这个房间里有很多光。</font><br><b><font size="5">zhè ge fáng jiān lǐ yǒu hěn duō guāng.</font></b>","There is a lot of light in this room.","ExampleSentenceFront",,,,
"<font size="5">我们的公司有一百多名员工。</font><br><b><font size="5">wǒmen de gōngsī yǒu yī bǎi duō míng yuángōng.</font></b>","Our company has more than a hundred employees.","ExampleSentenceFront",,,,
"<font size="5">这个商品的价格太高了。</font><br><b><font size="5">zhège shāngpǐn de jiàgé tài gāole.</font></b>","The price of this item is too high.","ExampleSentenceFront",,,,
"<font size="5">我们需要弄清楚这两者之间的区别。</font><br><b><font size="5">wǒmen xūyào nòngqīngchǔ zhè liǎng zhě zhījiān de qūbié.</font></b>","We need to clarify the difference between the two.","ExampleSentenceFront",,,,
"<font size="5">这部电影值得一看。</font><br><b><font size="5">zhè bù diànyǐng zhídé yī kàn.</font></b>","This movie is worth watching.","ExampleSentenceFront",,,,
"<font size="5">今天的气温又涨了，真热。</font><br><b><font size="5">jīn tiān de qì wēn yòu zhǎng le, zhēn rè.</font></b>","Today's temperature has risen again; it's really hot.","ExampleSentenceFront",,,,
"<font size="5">我们不能浪费时间，赶紧开始吧。</font><br><b><font size="5">wǒmen bù néng làngfèi shíjiān, gǎnjǐn kāishǐ ba.</font></b>","We can't waste time; let's get started quickly.","ExampleSentenceFront",,,,
"<font size="5">我打算在股市投资一些钱。</font><br><b><font size="5">wǒ dǎsuàn zài gǔshì tóuzī yīxiē qián.</font></b>","I plan to invest some money in the stock market.","ExampleSentenceFront",,,,
"<font size="5">这个项目有可能在下个月完成。</font><br><b><font size="5">zhè ge xiàng mù yǒu kě néng zài xià gè yuè wán chéng.</font></b>","This project is likely to be completed next month.","ExampleSentenceFront",,,,
"<font size="5">我最喜欢的演员是李连杰。</font><br><b><font size="5">Wǒ zuì xǐhuān de yǎnyuán shì Lǐ Liánjié.</font></b>","My favorite actor is Jet Li.","ExampleSentenceFront",,,,
"<font size="5">我在聚会上不小心摔倒了，真是太尴尬了。</font><br><b><font size="5">Wǒ zài jùhuì shàng bù xiǎoxīn shuāidǎo le, zhēn shì tài gāngà le.</font></b>","I accidentally fell at the party; it was really embarrassing.","ExampleSentenceFront",,,,
